Organization Name,Organization Name URL,Industry Groups,Number of Employees,Industries,Headquarters Location,Description,CB Rank (Organization),Stage,CB Rank (Company),Website,Contact Email,LinkedIn,Phone Number,Last Funding Date,Last Funding Type,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD)
KeyCare,https://www.crunchbase.com/organization/keycare,Health Care,1-10,"Health Care, Hospital","Chicago, Illinois, United States",KeyCare is a virtual care platform powered by Epic created to support progressive health systems.,"1,076",,851,https://www.keycare.org,,https://www.linkedin.com/company/keycareinc,,2026-03-03,Series A,27400000,USD,27400000
Rivia,https://www.crunchbase.com/organization/rivia-5c64,"Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software",1-10,"Artificial Intelligence (AI), Clinical Trials, Software","Zürich, Zurich, Switzerland",Rivia is a next-gen operating system for improved trial outcomes.,"1,134",,895,https://www.rivia.ch,info@rivia.com,https://www.linkedin.com/company/rivia-sa,,2026-03-18,Series A,13000000,EUR,14956041
Create Wellness,https://www.crunchbase.com/organization/create-wellness,"Commerce and Shopping, Consumer Goods, Food and Beverage, Health Care",1-10,"Consumer Goods, Dietary Supplements, E-Commerce, Food and Beverage","New York, New York, United States","Create Wellness offers creatine monohydrate gummies for improved focus, strength, and endurance, catering to health-conscious individuals.","1,272",,"1,009",https://trycreate.co,hi@trycreate.co,https://www.linkedin.com/company/trycreate,,2026-03-31,Series B,20000000,USD,20000000
Carecubes,https://www.crunchbase.com/organization/carecubes,"Biotechnology, Health Care, Science and Engineering",1-10,"Biotechnology, Medical, Medical Device","San Francisco, California, United States",Carecubes develops medical-grade isolation technology that helps caregivers respond to pandemics in a calm and caring manner.,"1,547",,"1,244",https://www.carecubes.com,support@carecubes.com,https://www.linkedin.com/company/carecubes,,2026-03-19,Series A,6500000,USD,6500000
Turn Therapeutics,https://www.crunchbase.com/organization/turn-therapeutics,"Biotechnology, Health Care, Science and Engineering",1-10,"Biotechnology, Medical, Medical Device, Pharmaceutical","Calabasas, California, United States",Turn Therapeutics is a pharmaceutical company that is dedicated to reducing the human and economic costs of infection and skin disease.,"1,959",,"1,572",https://www.turntherapeutics.com,info@turntherapeutics.com,https://www.linkedin.com/company/hexagenhealing,+1-818-564-4011,2026-03-24,Post-IPO Debt,7000000,USD,7000000
VeraDermics,https://www.crunchbase.com/organization/veradermics,Health Care,1-10,"Health Care, Pharmaceutical, Therapeutics","New Haven, Connecticut, United States",VeraDermics is a dermatology company that creates novel drug delivery mechanisms for a pain-free cure for skin conditions.,"1,991",,"1,598",https://www.veradermics.com,info@veradermics.com,https://www.linkedin.com/company/veradermics-inc,,2025-10-16,Series C,150000000,USD,150000000
Phinge,https://www.crunchbase.com/organization/phinge,"Artificial Intelligence (AI), Commerce and Shopping, Consumer Electronics, Data and Analytics, Financial Services, Hardware, Health Care, Internet Services, Media and Entertainment, Mobile, Science and Engineering, Software",1-10,"Artificial Intelligence (AI), Data Governance, Data Management, E-Commerce Platforms, FinTech, Health Care, Mobile Devices, Search Engine, Social Media, Software","Incline Village, Nevada, United States","Phinge® Creating Netverse®, Patented App-less, Integrated Technologies & Verifed Platform & AI With Magnetically Connectable Mobile Devices","2,085",,"1,677",https://www.phinge.com,Info@phinge.com,https://www.linkedin.com/company/phinge,,2026-04-09,Convertible Note,40000,USD,40000
Slate Medicines,https://www.crunchbase.com/organization/slate-medicines,"Biotechnology, Health Care, Science and Engineering",1-10,"Biotechnology, Medical, Therapeutics","Raleigh, North Carolina, United States",Slate Medicines develops therapeutics that target Pituitary Adenylate Cyclase-Activating Polypeptide for migraine treatment and prevention.,"2,313",,"1,859",https://www.slatemedicines.com,,https://www.linkedin.com/company/slate-medicines,,2026-02-24,Series A,130000000,USD,130000000
Audicin,https://www.crunchbase.com/organization/audicin,"Health Care, Media and Entertainment, Music and Audio",1-10,"Audio, Health Care, Music","Austin, Texas, United States",Audicin is a science-based digital health startup that offers audio medicine through music tracks to help people recharge while working.,"2,322",,"1,866",https://www.audicin.com/,,,,2026-04-01,Seed,1900000,USD,1900000
Bliss,https://www.crunchbase.com/organization/bliss-a550,"Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software",1-10,"Artificial Intelligence (AI), Mental Health","Helsinki, Southern Finland, Finland",AI-powered online therapy platform making mental health care accessible to diaspora communities wordwide,"2,323",,"1,867",https://www.blisstherapy.org/,info@bliss.al,https://www.linkedin.com/company/blissreal/,,2026-03-11,Angel,270000,USD,270000
Nakamoto,https://www.crunchbase.com/organization/nakamoto-ef91,"Blockchain and Cryptocurrency, Data and Analytics, Financial Services, Health Care, Payments, Software",1-10,"Analytics, Bitcoin, Health Care, Medical","Murray, Utah, United States",Kindly MD Company is designed to serve as a global conglomerate focused on accelerating Bitcoin adoption and utility across capital markets.,"2,456",,"1,982",https://nakamoto.com,hello@kindlymd.com,https://www.linkedin.com/company/nakamotoholdings/,(385) 388-8220,2025-10-03,Post-IPO Debt,203017500,USD,203017500
Arya,https://www.crunchbase.com/organization/arya-4595,"Artificial Intelligence (AI), Data and Analytics, Health Care, Other, Science and Engineering, Software",1-10,"Artificial Intelligence (AI), Consumer, Wellness","San Francisco, California, United States","Arya's AI concierge makes it radically easy for couples to invest in their relationship and love life, inside and outside the bedroom.","2,517",,"2,031",https://www.arya.fyi/start,hello@arya.fyi,https://www.linkedin.com/company/arya-fyi,,2026-03-10,Grant,17000000,USD,17000000
Serina Therapeutics,https://www.crunchbase.com/organization/serina-therapeutics,"Biotechnology, Health Care, Science and Engineering",1-10,"Biopharma, Biotechnology, Health Care, Therapeutics","Huntsville, Alabama, United States","Serina Therapeutics employs its proprietary polymer technology to develop treatments for cancer, inflammation, pain and metabolic disorders.","2,532",,"2,045",http://www.serinatherapeutics.com,info@serinatherapeutics.com,https://www.linkedin.com/company/serina-therapeutics-inc.,256-327-0566,2026-03-18,Post-IPO Equity,15000000,USD,15000000
Laigo Bio,https://www.crunchbase.com/organization/laigo-bio,"Biotechnology, Health Care, Science and Engineering",1-10,"Biotechnology, Medical","Utrecht, Utrecht, The Netherlands",Laigo Bio uses E3 ligase internalization to precisely degrade membrane proteins linked to autoimmune and inflammatory disorders.,"2,597",,"2,101",https://www.laigobio.com/en/,contactus@laigobio.com,https://www.linkedin.com/company/laigobio,,2026-03-23,Seed,5500000,EUR,6351978
Semarion,https://www.crunchbase.com/organization/semarion,"Biotechnology, Health Care, Science and Engineering",1-10,"Biotechnology, Health Care, Therapeutics","Cambridge, Cambridgeshire, United Kingdom",Semarion leverages microfabrication technology to build smart materials and develop novel cell assaying applications.,"2,626",,"2,122",https://www.semarion.com,info@semarion.com,https://www.linkedin.com/company/semarion,,2026-03-31,Venture - Series Unknown,2900000,GBP,3841390
Avalon GloboCare,https://www.crunchbase.com/organization/avalon-globocare,"Biotechnology, Health Care, Science and Engineering",1-10,"Biopharma, Biotechnology, Health Care","Freehold, New Jersey, United States","Avalon GloboCare is a biotech company that develops diagnostics, cellular therapies, along with health tech products.","2,635",,"2,131",http://www.avalon-globocare.com,info@avalon-globocare.com,https://www.linkedin.com/company/avalon-globocare-corp/,+1 732-780-4400,2026-02-26,Post-IPO Equity,9750000,USD,9750000
basys.ai,https://www.crunchbase.com/organization/basys-ai,"Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software",1-10,"Artificial Intelligence (AI), Health Care, Software","Cambridge, Massachusetts, United States",Basys.ai automates the process of prior authorization and utilization management for health plans/payers using an AI-based platform.,"2,667",,"2,158",https://www.basys.ai,support@basys.ai,https://www.linkedin.com/company/basysai,617-490-0840,2024-09-16,Seed,25000,USD,25000
Birches Health,https://www.crunchbase.com/organization/birches-health,"Gaming, Health Care",1-10,"Addiction Treatment, Gambling, Health Care","Phoenix, Arizona, United States",Birches Health provides therapy and support for those struggling with behavioral and process addictions.,"2,734",,"2,216",https://bircheshealth.com/,hello@bircheshealth.com,https://www.linkedin.com/company/bircheshealth/,,2026-02-09,Venture - Series Unknown,,,
Transcend Therapeutics,https://www.crunchbase.com/organization/transcend-therapeutics,"Biotechnology, Health Care, Science and Engineering",1-10,"Biotechnology, Health Care, Mental Health, Pharmaceutical, Therapeutics","Waltham, Massachusetts, United States","Transcend Therapeutics is a biotechnology company that offers treatments for neuropsychiatric diseases, particularly PTSD.","2,735",,"2,217",https://www.transcendtherapeutics.com,,https://www.linkedin.com/company/transcend-therapeutics,(617) 374-1200 ,2024-10-28,Convertible Note,,,
Porter,https://www.crunchbase.com/organization/porter-8733,"Data and Analytics, Health Care",1-10,"Analytics, Health Care, Hospital, Medical","Miami, Florida, United States",Porter is a big data and analytics company for health care and consumer products.,"3,101",,"2,527",https://www.helloporter.com,,https://www.linkedin.com/company/helloporterus,(786) 321-7570,2025-03-13,Private Equity,34999999,USD,34999999
Polyrizon,https://www.crunchbase.com/organization/polyrizon,"Biotechnology, Health Care, Science and Engineering",1-10,"Biotechnology, Health Care, Medical","Ra'anana, HaMerkaz, Israel",Polyrizon is a biotechnology company that focuses on hydrogel-based nasal spray technologies.,"3,118",,"2,542",https://polyrizon-biotech.com/,support@polyrizon.com,https://www.linkedin.com/company/polyrizon-ltd-,+972 055-433-5665,2026-04-07,Post-IPO Equity,3500000,USD,3500000
Pelage Pharmaceuticals,https://www.crunchbase.com/organization/pelage-pharma,Health Care,1-10,"Health Care, Medical, Pharmaceutical, Therapeutics, Wellness","Los Angeles, California, United States",Pelage Pharma is a regenerative medicine biotechnology company developing treatments for hair loss.,"3,160",,"2,580",https://pelagepharma.com,info@pelagepharma.com,https://www.linkedin.com/company/pelage-pharmaceuticals,,2025-10-15,Series B,119999987,USD,119999987
Syndex Bio,https://www.crunchbase.com/organization/syndex-bio,"Artificial Intelligence (AI), Biotechnology, Data and Analytics, Health Care, Science and Engineering, Software",1-10,"Artificial Intelligence (AI), Biotechnology, Health Care","Cambridge, Cambridgeshire, United Kingdom",Syndex Bio is a biotechnology platform offering molecular technologies and AI for the diagnosis and treatment of disease.,"3,187",,"2,602",https://www.syndex.bio,info@syndex.bio,https://www.linkedin.com/company/syndexbio/,,2026-02-23,Seed,15500000,USD,15500000
Triangle Health,https://www.crunchbase.com/organization/triangle-health,"Artificial Intelligence (AI), Data and Analytics, Health Care, Information Technology, Science and Engineering, Software",1-10,"Analytics, Artificial Intelligence (AI), Database, Document Management, Health Care, Software","Pasadena, California, United States",Triangle Health is a software company that uses artificial intelligence to analyze medical documents.,"3,372",,"2,765",https://www.trianglehealth.com,support@trianglehealth.com,https://www.linkedin.com/company/trianglehealth,,2026-03-24,Pre-Seed,4000000,USD,4000000
Dexterous Endoscopes,https://www.crunchbase.com/organization/dexterous-endoscopes,"Hardware, Health Care",1-10,"Hardware, Health Care, Medical, Medical Device","Lausanne, Vaud, Switzerland",Supporting the best outcome for patients by equipping doctors with next-gen endoscope technology,"3,385",,"2,778",https://www.dexterousendoscopes.com/,,https://www.linkedin.com/company/dexterousendoscopes/,,2026-03-18,Grant,150000,CHF,190264
Sinopia Biosciences,https://www.crunchbase.com/organization/sinopia-biosciences,"Artificial Intelligence (AI), Biotechnology, Data and Analytics, Health Care, Science and Engineering, Software",1-10,"Artificial Intelligence (AI), Biopharma, Biotechnology, Machine Learning, Neuroscience","San Diego, California, United States","Sinopia Biosciences enables data-driven drug discovery by means of multi-omics data, machine learning, network analyses, and disease models.","3,390",,"2,783",http://www.sinopiabio.com,,https://www.linkedin.com/company/sinopiabio,,2026-03-24,Grant,400000,USD,400000
Rybodyn,https://www.crunchbase.com/organization/rybodyn,"Biotechnology, Health Care, Science and Engineering",1-10,"Biotechnology, Medical, Pharmaceutical, Therapeutics","San Diego, California, United States",Rybodyn is a biotechnology research company that develops therapeutics to train the immune system to detect and eradicate cancer internally.,"3,561",,"2,932",https://www.rybodyn.com,,https://www.linkedin.com/company/rybodyn,,2026-03-24,Seed,10000000,USD,10000000
Minnesota Medical Technologies,https://www.crunchbase.com/organization/minnesota-medical-technologies,"Health Care, Manufacturing",1-10,"Health Care, Manufacturing, Medical, Personal Health","Minnesota City, Minnesota, United States",Minnesota Medical develops devices for fecal incontinence care applications.,"3,580",,"2,948",https://mnmedtech.us/,,https://www.linkedin.com/company/minnesota-medical-technologies,507-533-0366,2026-03-05,Series A,20600000,USD,20600000
Marvel Biosciences,https://www.crunchbase.com/organization/marvel-biotechnology,"Biotechnology, Health Care, Science and Engineering",1-10,"Biotechnology, Health Care","Calgary, Alberta, Canada",Marvel Biosciences is a life sciences company.,"3,585",,"2,952",https://www.marvelbiotechnology.com,,https://www.linkedin.com/company/marvel-biotechnology/,,2026-04-07,Post-IPO Equity,,,
People Science,https://www.crunchbase.com/organization/people-science-f8d1,"Food and Beverage, Health Care",1-10,"Clinical Trials, Dietary Supplements, Health Care, Nutraceutical, Personal Health","Los Angeles, California, United States",People Science is a tech-led R&D platform for alternative medicine.,"3,606",,"2,972",https://www.peoplescience.health/,ask@peoplescience.health,https://www.linkedin.com/company/people-science-co,,2023-01-26,Seed,5300000,USD,5300000
cadootz!,https://www.crunchbase.com/organization/cadootz,"Food and Beverage, Health Care",1-10,"Nutrition, Organic Food, Snack Food","Vauxhall, New Jersey, United States","cadootz! is a food brand that provides organic, whole food, and protein snacks for kids.","3,807",,"3,149",https://cadootz.com/,hello@cadootz.com,https://www.linkedin.com/company/cadootz/about/,,2026-04-07,Seed,3000000,USD,3000000
MAIA Biotechnology,https://www.crunchbase.com/organization/maia-biotechnology,"Biotechnology, Health Care, Science and Engineering",1-10,"Biotechnology, Health Care, Oncology, Therapeutics","Chicago, Illinois, United States",MAIA Biotechnology is a clinical-stage biopharmaceutical company developing cancer therapies that target telomeres through immunotherapy.,"3,851",,"3,187",https://maiabiotech.com,info@maiabiotech.com,https://www.linkedin.com/company/maiabiotech,312-416-8592,2026-03-02,Post-IPO Equity,30000000,USD,30000000
eSSENTL Creator,https://www.crunchbase.com/organization/essentl-creator,"Administrative Services, Financial Services, Health Care, Internet Services, Media and Entertainment, Payments, Professional Services",1-10,"Bookkeeping and Payroll, Compliance, Content Creators, Employee Benefits, Health Insurance, Human Resources, Internet, Payments, Social Media","Reno, Nevada, United States",Health Insurance & HR Benefits for Creators by Creators,"3,862",,"3,196",https://essentlcreator.com/,contact@essentlcreator.com,https://www.linkedin.com/company/essentl-creator,,2025-01-15,Pre-Seed,1350000,USD,1350000
Bevel,https://www.crunchbase.com/organization/bevel-9eaa,"Apps, Health Care, Mobile, Software, Sports",1-10,"Apps, Fitness, Health Care, mHealth, Wellness","New York, New York, United States","Bevel is a next-gen holistic wellness app unifying nutrition, sleep, recovery, strain, and stress tracking.","3,895",,"3,225",https://www.bevel.health/,hello@bevel.health,https://www.linkedin.com/company/bevel-health/,,2025-10-16,Series A,10000000,USD,10000000
BioCaptiva,https://www.crunchbase.com/organization/biocaptiva,Health Care,1-10,"Health Care, Medical, Medical Device","Edinburgh, Edinburgh, City of, United Kingdom",BioCaptiva develops liquid biopsy technology devices to diagnose and monitoring to detect cancers.,"3,899",,"3,227",https://www.biocaptiva.com/,,https://www.linkedin.com/company/biocaptiva-limited,,2026-03-09,Venture - Series Unknown,1580000,GBP,2101313
Rimidi,https://www.crunchbase.com/organization/rimidi,"Health Care, Information Technology, Software",1-10,"Health Care, Information Technology, Software","Atlanta, Georgia, United States","Rimidi is a health IT platform that enables virtual, personalized management of cardiometabolic diseases.","3,960",,"3,280",https://rimidi.com/,info@rimidi.com,https://www.linkedin.com/company/rimidi,404-317-4400,2023-01-12,Venture - Series Unknown,5000000,USD,5000000
sona,https://www.crunchbase.com/organization/meet-sona,"Apps, Biotechnology, Health Care, Internet Services, Media and Entertainment, Music and Audio, Science and Engineering, Software",1-10,"Apps, Health Care, Medical, Medical Device, Mental Health, Music, Music Streaming, Neuroscience, Therapeutics, Wellness","Los Angeles, California, United States","sona is a digital therapeutics company, using science-backed music to improve mental health.","4,180",,"3,468",https://sona.care,sona@sona.care,https://www.linkedin.com/company/sona-labs,,2023-01-05,Equity Crowdfunding,75432,USD,75432
Manas AI,https://www.crunchbase.com/organization/manas-ai-2aa7,"Artificial Intelligence (AI), Biotechnology, Data and Analytics, Health Care, Science and Engineering, Software",1-10,"Artificial Intelligence (AI), Biotechnology, Pharmaceutical","San Francisco, California, United States",Manas AI is a disruptive drug development AI firm that offers drugs for cancer and rare diseases.,"4,192",,"3,479",https://www.manasai.co/,contact@manasai.co,https://www.linkedin.com/company/manas-ai/,,2025-01-27,Seed,26000000,USD,26000000
Catch,https://www.crunchbase.com/organization/catchco,"Administrative Services, Apps, Community and Lifestyle, Financial Services, Health Care, Mobile, Other, Software",1-10,"Apps, Employee Benefits, Financial Services, FinTech, Health Insurance, Insurance, InsurTech, Mobile Apps, Retirement, Software","New York, New York, United States","Catch is a platform that offers health insurance, retirement plans, and tax withholding for freelancers without benefits.","4,205",,"3,491",http://catch.co,hey@catch.co,https://www.linkedin.com/company/catchbenefits,,2021-07-30,Series A,12000000,USD,12000000
Decoy Therapeutics,https://www.crunchbase.com/organization/decoy-therapeutics,"Biotechnology, Health Care, Science and Engineering",1-10,"Biotechnology, Health Care, Therapeutics","Cambridge, Massachusetts, United States",Decoy Therapeutics is a biotech company that design the next generation of peptide conjugate therapies to protect and expand patient lives.,"4,264",,"3,539",https://decoytx.com,,https://www.linkedin.com/company/decoy-therapeutics-inc/,,2021-04-22,Convertible Note,250000,USD,250000
iDEL Therapeutics,https://www.crunchbase.com/organization/idel-therapeutics,"Biotechnology, Health Care, Science and Engineering",1-10,"Biotechnology, Health Care, Medical","Dortmund, Nordrhein-Westfalen, Germany",iDEL Therapeutics is a cancer therapeutics company.,"4,362",,"3,622",https://idel-tx.com,info@idel-tx.com,https://www.linkedin.com/company/idel-therapeutics-gmbh,+49 231 292927-00,2026-03-17,Seed,9000000,EUR,10356291
Prickly Pear Health,https://www.crunchbase.com/organization/prickly-pear-health,"Artificial Intelligence (AI), Community and Lifestyle, Data and Analytics, Health Care, Science and Engineering, Software",1-10,"Artificial Intelligence (AI), Health Care, Health Diagnostics, Women's","Phoenix, Arizona, United States","Prickly Pear is an AI-powered digital health solution that focuses on supporting women’s brain health, during the menopausal transition.","4,734",,"3,942",https://pricklypear.io,,https://www.linkedin.com/company/prickly-pear-health/,,2026-03-26,Pre-Seed,600000,USD,600000
TempraMed,https://www.crunchbase.com/organization/tempramed,Health Care,1-10,"Health Care, Medical, Medical Device","Sammamish, Washington, United States",TempraMed provides last-mile control and management solutions to protect patients from temperature-sensitive medications.,"4,747",,"3,950",https://tempramed.com/,,https://www.linkedin.com/company/tempramed/,+1 800 871 9923,2025-10-21,Post-IPO Equity,2524836,CAD,1800806
Spinogenix,https://www.crunchbase.com/organization/spinogenix,"Biotechnology, Health Care, Science and Engineering",1-10,"Biotechnology, Health Care, Medical, Therapeutics","San Diego, California, United States",Spinogenix is a developer of a new class of therapeutics for neurodegenerative and psychiatric diseases.,"4,793",,"3,991",http://www.spinogenix.com/,vince@spinogenix.com,https://www.linkedin.com/company/spinogenix/,858-263-3252,2026-03-09,Venture - Series Unknown,10606566,USD,10606566
DiappyMed,https://www.crunchbase.com/organization/diappymed,"Apps, Health Care, Manufacturing, Software",1-10,"Apps, Health Care, Manufacturing, Medical","Clapiers, Languedoc-Roussillon, France",DiappyMed specializes in developing platforms to calculate insulin dosages.,"4,893",,"4,077",https://diappymed.com/,contact@diappymed.com,https://www.linkedin.com/company/diappymed,33 (0) 6 86 28 68 74,2026-03-22,Seed,5000000,EUR,5793749
Metavalis,https://www.crunchbase.com/organization/metavalis,"Artificial Intelligence (AI), Biotechnology, Data and Analytics, Government and Military, Hardware, Health Care, Information Technology, Science and Engineering, Software",1-10,"Agentic AI, AI Infrastructure, Artificial Intelligence (AI), Foundational AI, Generative AI, Genetics, GovTech, Health Care, Pharmaceutical, Therapeutics","Branson, Missouri, United States","Veteran led Strategic Bioengineering Firm Merging AI infrastructure with our proprietary LNP to engineer, re-dosable genetic medicines.","4,939",,"4,117",https://metavalis.com/,Jordan@metavalis.com,https://www.linkedin.com/company/metavalis/,(417) 243-9965,2026-04-05,Angel,15000,USD,15000
Coya Therapeutics,https://www.crunchbase.com/organization/coya-therapeutics,"Biotechnology, Health Care, Science and Engineering",1-10,"Biopharma, Biotechnology, Life Science","Houston, Texas, United States","Coya Therapeutics is a T Reg platform company addressing neurodegenerative, autoimmune, and metabolic diseases","5,016",,"4,180",https://coyatherapeutics.com/,daniel@coyatherapeutics.com,https://www.linkedin.com/company/coya-therapeutics,1(800) 587-8570,2026-01-30,Post-IPO Equity,11100000,USD,11100000
Neok Bio,https://www.crunchbase.com/organization/neok-bio,"Biotechnology, Health Care, Science and Engineering",1-10,"Biotechnology, Oncology, Pharmaceutical","Palo Alto, California, United States",Neok Bio is a biotech startup that focuses on bispecific ADCs in cancer therapy.,"5,019",,"4,182",https://www.neokbio.com/,,https://www.linkedin.com/company/neok-bio/,,2026-03-30,Series A,25000000,USD,25000000
reprai,https://www.crunchbase.com/organization/reprai,"Artificial Intelligence (AI), Data and Analytics, Health Care, Information Technology, Sales and Marketing, Science and Engineering, Software",1-10,"Artificial Intelligence (AI), Information Services, Pharmaceutical, Sales Enablement, Software","Wilmington, Delaware, United States","SaaS, B2B, Entreprise, Marketing and Sales, Pharma","5,042",,"4,202",https://www.reprai.com/,info@reprai.com,https://www.linkedin.com/company/reprai/,+13023606635,2025-09-01,Pre-Seed,1000000,USD,1000000
Veracity,https://www.crunchbase.com/organization/veracity-selfcare,"Food and Beverage, Health Care",1-10,"Dietary Supplements, Health Care, Personal Health, Wellness","New York, New York, United States",Veracity is a root-cause metabolic health platform that provides clinically-backed and drug-free solutions.,"5,079",,"4,236",http://veracityselfcare.com,hello@veracityselfcare.com,https://www.linkedin.com/company/veracity-selfcare/?viewAsMember=true,,2025-06-17,Series A,6000000,USD,6000000
Eir Partners,https://www.crunchbase.com/organization/eir-partners,"Financial Services, Health Care",1-10,"Financial Services, Health Care","Miami, Florida, United States",EIR Partners is a middle market private equity firm focused on healthcare technology and tech-enabled services.,"5,080",,"4,237",http://www.eirpartners.com/,,https://www.linkedin.com/company/eir-partners,,,,,,
OSR Holdings,https://www.crunchbase.com/organization/osr-holdings,"Financial Services, Health Care, Lending and Investments, Other",1-10,"Collaboration, Finance, Financial Exchanges, Financial Services, Health Care","Paju, Kyonggi-do, South Korea",OSR Holdings specializes in providing investments and collaborations for biotech and biotherapeutics companies.,"5,105",,"4,257",https://osr-holdings.com/,group@osr-holdings.com,https://www.linkedin.com/company/osr-holdings/?trk=ppro_cprof,,2025-04-03,Post-IPO Equity,80000000,USD,80000000
Bolt,https://www.crunchbase.com/organization/bolt-4730,"Health Care, Information Technology, Navigation and Mapping, Software",1-10,"Health Care, Information Technology, Medical, Medical Device, Navigation, Productivity Tools, Software","Concord, Massachusetts, United States",Bolt offers surgical navigation systems to optimizing surgical efficiency.,"5,380",,"4,495",https://www.boltnav.com,Info@boltnav.com,https://www.linkedin.com/company/bolt-nav,1.866.628.3422,2024-01-17,Series B,,,
